PROPORÇÕES DAS LOGOS
Formato: nome do arquivo | dimensões | proporção exata | proporção aproximada

cm_ananas.png | 500x162 px | 250:81 | 3,086:1
cm_aparecida_do_rio_negro.png | 500x162 px | 250:81 | 3,086:1
cm_araguacu.png | 500x162 px | 250:81 | 3,086:1
cm_araguana.png | 500x162 px | 250:81 | 3,086:1
cm_carmolandia.png | 928x203 px | 32:7 | 4,571:1
cm_centenario.png | 500x180 px | 25:9 | 2,778:1
cm_colmeia.png | 500x162 px | 250:81 | 3,086:1
cm_duere.png | 500x162 px | 250:81 | 3,086:1
cm_envira.png | 500x162 px | 250:81 | 3,086:1
cm_itaguatins.png | 500x162 px | 250:81 | 3,086:1
cm_lajeado.png | 500x162 px | 250:81 | 3,086:1
cm_lizarda.png | 500x180 px | 25:9 | 2,778:1
cm_luzinopolis.png | 500x162 px | 250:81 | 3,086:1
cm_mateiros.png | 912x273 px | 304:91 | 3,341:1
cm_miranorte.png | 5113x1431 px | 5113:1431 | 3,573:1
cm_nazare.png | 500x180 px | 25:9 | 2,778:1
cm_nova_olinda.png | 500x162 px | 250:81 | 3,086:1
cm_novo_acordo.png | 500x162 px | 250:81 | 3,086:1
cm_palmeirante.png | 500x162 px | 250:81 | 3,086:1
cm_palmeiras_do_tocantins.png | 500x162 px | 250:81 | 3,086:1
cm_pau_d_arco.png | 500x162 px | 250:81 | 3,086:1
cm_pindorama_do_tocantins.png | 500x162 px | 250:81 | 3,086:1
cm_recursolandia.png | 500x180 px | 25:9 | 2,778:1
cm_riachinho.png | 500x162 px | 250:81 | 3,086:1
cm_rio_sono.png | 1280x294 px | 640:147 | 4,354:1
cm_santa_maria_do_tocantins.png | 500x162 px | 250:81 | 3,086:1
cm_sao_bento_do_tocantins.png | 500x162 px | 250:81 | 3,086:1
cm_sao_felix_do_tocantins.png | 500x162 px | 250:81 | 3,086:1
cm_silvanopolis.png | 947x252 px | 947:252 | 3,758:1
cm_tabocao.png | 500x162 px | 250:81 | 3,086:1
pm_aparecida_do_rio_negro.png | 500x162 px | 250:81 | 3,086:1
pm_babaculandia.png | 400x111 px | 400:111 | 3,604:1
pm_carmolandia.png | 500x162 px | 250:81 | 3,086:1
pm_centenario.png | 500x162 px | 250:81 | 3,086:1
pm_divinopolis_do_tocantins.png | 500x162 px | 250:81 | 3,086:1
pm_filadelfia.png | 500x162 px | 250:81 | 3,086:1
pm_lagoa_da_confusao.png | 1380x460 px | 3:1 | 3,000:1
pm_lajeado.png | 517x172 px | 517:172 | 3,006:1
pm_mateiros.png | 500x162 px | 250:81 | 3,086:1
pm_miranorte.png | 486x162 px | 3:1 | 3,000:1
pm_monte_do_carmo.png | 2366x509 px | 2366:509 | 4,648:1
pm_nazare.png | 500x162 px | 250:81 | 3,086:1
pm_piraque.png | 500x162 px | 250:81 | 3,086:1
pm_ponte_alta_do_tocantins.png | 500x162 px | 250:81 | 3,086:1
pm_pugmil.png | 5147x1433 px | 5147:1433 | 3,592:1
pm_recursolandia.png | 500x180 px | 25:9 | 2,778:1
pm_santa_fe_do_araguaia.png | 500x162 px | 250:81 | 3,086:1
pm_santa_maria_do_tocantins.png | 500x162 px | 250:81 | 3,086:1
pm_silvanopolis.png | 500x162 px | 250:81 | 3,086:1
pm_tocantinopolis.png | 500x162 px | 250:81 | 3,086:1
pm_tupirama.png | 500x180 px | 25:9 | 2,778:1
